prefixo,nome,transmissao,valor_leitura_plu,valor,intervalo
1000400,CÓRREGO CHRYSLER,WEBSERVICE,0.6,2.247,2019-02-23 00:00:00 UTC
1000400,CÓRREGO CHRYSLER,WEBSERVICE,0.2,0.311,2019-02-24 00:00:00 UTC
1000400,CÓRREGO CHRYSLER,WEBSERVICE,11.2,0.717,2019-02-25 00:00:00 UTC
1000400,CÓRREGO CHRYSLER,WEBSERVICE,29.4,11.06,2019-02-26 00:00:00 UTC
1000400,CÓRREGO CHRYSLER,WEBSERVICE,4.0,3.128,2019-02-27 00:00:00 UTC
1000400,CÓRREGO CHRYSLER,WEBSERVICE,29.0,13.418,2019-02-28 00:00:00 UTC
1000410,Ribeirão dos Couros - Mercedes Paulicéia,WEBSERVICE,0.0,0.0,2019-01-31 00:00:00 UTC
1000410,Ribeirão dos Couros - Mercedes Paulicéia,WEBSERVICE,0.0,0.0,2019-02-01 00:00:00 UTC
1000410,Ribeirão dos Couros - Mercedes Paulicéia,WEBSERVICE,0.0,0.0,2019-02-02 00:00:00 UTC
1000410,Ribeirão dos Couros - Mercedes Paulicéia,WEBSERVICE,0.4,0.022,2019-02-03 00:00:00 UTC
1000410,Ribeirão dos Couros - Mercedes Paulicéia,WEBSERVICE,59.8,12.317,2019-02-04 00:00:00 UTC
1000410,Ribeirão dos Couros - Mercedes Paulicéia,WEBSERVICE,0.4,0.729,2019-02-05 00:00:00 UTC
1000410,Ribeirão dos Couros - Mercedes Paulicéia,WEBSERVICE,43.4,16.182,2019-02-06 00:00:00 UTC
1000410,Ribeirão dos Couros - Mercedes Paulicéia,WEBSERVICE,0.0,11.297,2019-02-07 00:00:00 UTC
1000410,Ribeirão dos Couros - Mercedes Paulicéia,WEBSERVICE,0.0,0.0,2019-02-08 00:00:00 UTC
1000410,Ribeirão dos Couros - Mercedes Paulicéia,WEBSERVICE,0.0,0.0,2019-02-09 00:00:00 UTC
1000410,Ribeirão dos Couros - Mercedes Paulicéia,WEBSERVICE,0.0,0.0,2019-02-10 00:00:00 UTC
1000410,Ribeirão dos Couros - Mercedes Paulicéia,WEBSERVICE,0.0,0.0,2019-02-11 00:00:00 UTC
1000410,Ribeirão dos Couros - Mercedes Paulicéia,WEBSERVICE,11.6,1.768,2019-02-12 00:00:00 UTC
1000410,Ribeirão dos Couros - Mercedes Paulicéia,WEBSERVICE,3.6,4.346,2019-02-13 00:00:00 UTC
1000410,Ribeirão dos Couros - Mercedes Paulicéia,WEBSERVICE,0.0,0.068,2019-02-14 00:00:00 UTC
1000410,Ribeirão dos Couros - Mercedes Paulicéia,WEBSERVICE,42.2,6.754,2019-02-15 00:00:00 UTC
1000410,Ribeirão dos Couros - Mercedes Paulicéia,WEBSERVICE,57.8,28.658,2019-02-16 00:00:00 UTC
1000410,Ribeirão dos Couros - Mercedes Paulicéia,WEBSERVICE,0.4,18.569,2019-02-17 00:00:00 UTC
1000410,Ribeirão dos Couros - Mercedes Paulicéia,WEBSERVICE,0.0,0.063,2019-02-18 00:00:00 UTC
1000410,Ribeirão dos Couros - Mercedes Paulicéia,WEBSERVICE,0.0,0.0,2019-02-19 00:00:00 UTC
1000410,Ribeirão dos Couros - Mercedes Paulicéia,WEBSERVICE,21.6,3.889,2019-02-20 00:00:00 UTC
1000410,Ribeirão dos Couros - Mercedes Paulicéia,WEBSERVICE,32.8,18.289,2019-02-21 00:00:00 UTC
1000410,Ribeirão dos Couros - Mercedes Paulicéia,WEBSERVICE,6.2,10.881,2019-02-22 00:00:00 UTC
1000410,Ribeirão dos Couros - Mercedes Paulicéia,WEBSERVICE,0.4,2.14,2019-02-23 00:00:00 UTC
1000410,Ribeirão dos Couros - Mercedes Paulicéia,WEBSERVICE,0.0,0.065,2019-02-24 00:00:00 UTC
1000410,Ribeirão dos Couros - Mercedes Paulicéia,WEBSERVICE,7.6,0.29,2019-02-25 00:00:00 UTC
1000410,Ribeirão dos Couros - Mercedes Paulicéia,WEBSERVICE,31.4,10.231,2019-02-26 00:00:00 UTC
1000410,Ribeirão dos Couros - Mercedes Paulicéia,WEBSERVICE,0.4,2.775,2019-02-27 00:00:00 UTC
1000410,Ribeirão dos Couros - Mercedes Paulicéia,WEBSERVICE,30.8,14.276,2019-02-28 00:00:00 UTC
1000430,RIBEIRÃO DOS COUROS - FORD,WEBSERVICE,0.0,0.0,2019-01-31 00:00:00 UTC
1000430,RIBEIRÃO DOS COUROS - FORD,WEBSERVICE,0.0,0.0,2019-02-01 00:00:00 UTC
1000430,RIBEIRÃO DOS COUROS - FORD,WEBSERVICE,0.0,0.0,2019-02-02 00:00:00 UTC
1000430,RIBEIRÃO DOS COUROS - FORD,WEBSERVICE,0.0,0.0,2019-02-03 00:00:00 UTC
1000430,RIBEIRÃO DOS COUROS - FORD,WEBSERVICE,52.2,10.433,2019-02-04 00:00:00 UTC
1000430,RIBEIRÃO DOS COUROS - FORD,WEBSERVICE,0.2,0.91,2019-02-05 00:00:00 UTC
1000430,RIBEIRÃO DOS COUROS - FORD,WEBSERVICE,39.0,14.783,2019-02-06 00:00:00 UTC
1000430,RIBEIRÃO DOS COUROS - FORD,WEBSERVICE,0.0,10.704,2019-02-07 00:00:00 UTC
1000430,RIBEIRÃO DOS COUROS - FORD,WEBSERVICE,0.0,0.0,2019-02-08 00:00:00 UTC
1000430,RIBEIRÃO DOS COUROS - FORD,WEBSERVICE,0.0,0.0,2019-02-09 00:00:00 UTC
1000430,RIBEIRÃO DOS COUROS - FORD,WEBSERVICE,0.0,0.0,2019-02-10 00:00:00 UTC
1000430,RIBEIRÃO DOS COUROS - FORD,WEBSERVICE,0.0,0.0,2019-02-11 00:00:00 UTC
1000430,RIBEIRÃO DOS COUROS - FORD,WEBSERVICE,8.4,1.436,2019-02-12 00:00:00 UTC
1000430,RIBEIRÃO DOS COUROS - FORD,WEBSERVICE,1.4,2.99,2019-02-13 00:00:00 UTC
1000430,RIBEIRÃO DOS COUROS - FORD,WEBSERVICE,0.0,0.0,2019-02-14 00:00:00 UTC
1000430,RIBEIRÃO DOS COUROS - FORD,WEBSERVICE,42.8,6.947,2019-02-15 00:00:00 UTC
1000430,RIBEIRÃO DOS COUROS - FORD,WEBSERVICE,65.0,33.069,2019-02-16 00:00:00 UTC
1000430,RIBEIRÃO DOS COUROS - FORD,WEBSERVICE,0.0,20.467,2019-02-17 00:00:00 UTC
1000430,RIBEIRÃO DOS COUROS - FORD,WEBSERVICE,0.0,0.0,2019-02-18 00:00:00 UTC
1000430,RIBEIRÃO DOS COUROS - FORD,WEBSERVICE,0.0,0.0,2019-02-19 00:00:00 UTC
1000430,RIBEIRÃO DOS COUROS - FORD,WEBSERVICE,22.2,2.86,2019-02-20 00:00:00 UTC
1000430,RIBEIRÃO DOS COUROS - FORD,WEBSERVICE,17.4,11.596,2019-02-21 00:00:00 UTC
1000430,RIBEIRÃO DOS COUROS - FORD,WEBSERVICE,7.6,5.783,2019-02-22 00:00:00 UTC
